attributionURL,count,employmentStatus,jobTitle,jobTitleId,max,mean,min,obscureType,payPeriod,perOccEmployerDefaultCountryBasePayCount,perOccUnfilteredThisCountryBasePayCount,id,company_name,company_longName,companyLogo,totalJobTitlesCount,totalSalariesCount
"https://www.glassdoor.com/Hourly-Pay/Trilogy-Health-Services-Licensed-Practical-Nurse-Hourly-Pay-E212879_D_KO24,48.htm",45.0,REGULAR,Licensed Practical Nurse,62931.0,27.82,22.83,18.69,FULL_DISPLAY,HOURLY,48.0,6859.0,212879,Trilogy Health Services,Trilogy Health Services LLC,https://media.glassdoor.com/sqll/212879/trilogy-health-services-squarelogo-1549483951370.png,141,415
"https://www.glassdoor.com/Hourly-Pay/Trilogy-Health-Services-CNA-Hourly-Pay-E212879_D_KO24,27.htm",33.0,REGULAR,CNA,51025.0,14.69,12.61,10.72,FULL_DISPLAY,HOURLY,34.0,7805.0,212879,Trilogy Health Services,Trilogy Health Services LLC,https://media.glassdoor.com/sqll/212879/trilogy-health-services-squarelogo-1549483951370.png,141,415
"https://www.glassdoor.com/Hourly-Pay/Trilogy-Health-Services-Physical-Therapist-Hourly-Pay-E212879_D_KO24,42.htm",25.0,REGULAR,Physical Therapist,2507.0,51.11,42.35,38.75,FULL_DISPLAY,HOURLY,25.0,20114.0,212879,Trilogy Health Services,Trilogy Health Services LLC,https://media.glassdoor.com/sqll/212879/trilogy-health-services-squarelogo-1549483951370.png,141,415
"https://www.glassdoor.com/Salary/NVIDIA-Software-Engineer-Salaries-E7633_D_KO7,24.htm",262.0,REGULAR,Software Engineer,4279.0,202687.86,123509.77,80858.3,FULL_DISPLAY,ANNUAL,314.0,159426.0,7633,NVIDIA,NVIDIA Corporation,https://media.glassdoor.com/sqll/7633/nvidia-squarelogo-1474909715686.png,708,3459
"https://www.glassdoor.com/Salary/NVIDIA-Hardware-Engineer-Salaries-E7633_D_KO7,24.htm",222.0,REGULAR,Hardware Engineer,22383.0,204712.75,122648.63,84061.23,FULL_DISPLAY,ANNUAL,232.0,3651.0,7633,NVIDIA,NVIDIA Corporation,https://media.glassdoor.com/sqll/7633/nvidia-squarelogo-1474909715686.png,708,3459
"https://www.glassdoor.com/Salary/NVIDIA-Senior-Systems-Software-Engineer-Salaries-E7633_D_KO7,39.htm",197.0,REGULAR,Senior Systems Software Engineer,11145.0,213343.41,147852.41,97943.94,FULL_DISPLAY,ANNUAL,198.0,554.0,7633,NVIDIA,NVIDIA Corporation,https://media.glassdoor.com/sqll/7633/nvidia-squarelogo-1474909715686.png,708,3459
"https://www.glassdoor.com/Hourly-Pay/Apex-Parks-Group-Performer-Hourly-Pay-E1419032_D_KO17,26.htm",1.0,REGULAR,Performer,1576.0,12.75,12.27,11.79,FUZZED,HOURLY,1.0,97.0,1419032,Apex Parks Group,Apex Parks Group,https://media.glassdoor.com/sqll/1419032/apex-parks-group-squarelogo-1557960594584.png,1,1
"https://www.glassdoor.com/Salary/Intel-Corporation-Product-Design-Engineer-Salaries-E1519_D_KO18,41.htm",1.0,REGULAR,Product Design Engineer,37253.0,121716.18,117427.66,113139.13,FUZZED,ANNUAL,1.0,693.0,1519,Intel Corporation,Intel Corporation,https://media.glassdoor.com/sqll/1519/intel-corporation-squarelogo-1515609455196.png,1,1
"https://www.glassdoor.com/Salary/Reyes-Beer-Division-Merchandising-Supervisor-Salaries-E561051_D_KO20,44.htm",1.0,REGULAR,Merchandising Supervisor,58699.0,49214.84,47159.13,45103.42,FUZZED,ANNUAL,1.0,82.0,561051,Reyes Beer Division,Reyes Beverage Group,https://media.glassdoor.com/sqll/561051/reyes-beverage-group-squarelogo-1499442216695.png,1,1
"https://www.glassdoor.com/Salary/E-and-J-Gallo-Winery-Sales-Representative-Salaries-E2778_D_KO21,41.htm",75.0,REGULAR,Sales Representative,44836.0,70673.76,48117.87,20000.0,FULL_DISPLAY,ANNUAL,84.0,2.0,2778,E. & J. Gallo Winery,E. & J. Gallo Winery,https://media.glassdoor.com/sqll/2778/e-and-j-gallo-winery-squarelogo-1561998268430.png,534,1139
"https://www.glassdoor.com/Salary/E-and-J-Gallo-Winery-Chain-Sales-Representative-Salaries-E2778_D_KO21,47.htm",25.0,REGULAR,Chain Sales Representative,210150.0,53698.72,50599.11,40982.13,FULL_DISPLAY,ANNUAL,26.0,64.0,2778,E. & J. Gallo Winery,E. & J. Gallo Winery,https://media.glassdoor.com/sqll/2778/e-and-j-gallo-winery-squarelogo-1561998268430.png,534,1139
